These data were taken from the�NASA Exoplanet Archive.									
Name	Orbital Period (days)	Planet Mass (Jupiter masses)	Planet Mass (Earth masses)	Semi-major Axis (AU)	Eccentricity	Stellar Mass (Solar masses)	Discovery Method	Discovery Paper	
HATS-8 b	3.584	0.138	44	0.0467	0.376	1.06	Transit	Bayliss et al. 2015	
HAT-P-53 b	1.962	1.484	472	0.0316	0.134	1.09	Transit	Hartman et al. 2015	
HAT-P-52 b	2.754	0.818	260	0.0369	0.047	0.89	Transit	Hartman et al. 2015	
HAT-P-50 b	3.122	1.350	429	0.0453	0.115	1.27	Transit	Hartman et al. 2015	
HAT-P-51 b	4.218	0.309	98	0.0507	0.123	0.98	Transit	Hartman et al. 2015	
WASP-120 b	3.611	4.850	1541	0.0514	0.057	1.39	Transit	Turner et al. 2016	
HATS-15 b	1.747	2.170	690	0.0271	0.126	0.87	Transit	Ciceri et al. 2016	
HATS-34 b	2.106	0.941	299	0.0317	0.108	0.95	Transit	de Val-Borro et al. 2016	
HATS-35 b	1.821	1.222	388	0.0320	0.306	1.32	Transit	de Val-Borro et al. 2016	
HATS-31 b	3.378	0.880	280	0.0478	0.233	1.27	Transit	de Val-Borro et al. 2016	
HATS-32 b	2.813	0.920	292	0.0402	0.471	1.10	Transit	de Val-Borro et al. 2016	
HATS-33 b	2.550	1.192	379	0.0373	0.080	1.06	Transit	de Val-Borro et al. 2016	
WASP-53 b	3.310	2.132	678	0.0410	0.030	0.84	Transit	Triaud et al. 2017	
WASP-81 b	2.716	0.729	232	0.0391	0.066	1.08	Transit	Triaud et al. 2017	
HD 2685 b	4.127	1.170	372	0.0568	0.091	1.43	Transit	Jones et al. 2019	
HD 143105 b	2.197	1.210	385	0.0379	0.070	1.51	Radial Velocity	Hébrard et al. 2016	
WASP-119 b	2.500	1.230	391	0.0363	0.058	1.02	Transit	Maxted et al. 2016	
WASP-124 b	3.373	0.600	191	0.0449	0.017	1.07	Transit	Maxted et al. 2016	
WASP-126 b	3.289	0.280	89	0.0449	0.180	1.12	Transit	Maxted et al. 2016	
WASP-129 b	5.748	1.000	318	0.0628	0.096	1.00	Transit	Maxted et al. 2016	
WASP-133 b	2.176	1.160	369	0.0345	0.170	1.16	Transit	Maxted et al. 2016	
K2-29 b	3.259	0.730	232	0.0422	0.066	0.94	Transit	Santerne et al. 2016	
HATS-25 b	4.299	0.613	195	0.0516	0.176	0.99	Transit	Espinoza et al. 2016	
HATS-26 b	3.302	0.650	207	0.0474	0.245	1.30	Transit	Espinoza et al. 2016	
HATS-27 b	4.637	0.530	168	0.0611	0.581	1.42	Transit	Espinoza et al. 2016	
HATS-28 b	3.181	0.672	214	0.0413	0.202	0.93	Transit	Espinoza et al. 2016	
HATS-29 b	4.606	0.653	208	0.0548	0.158	1.03	Transit	Espinoza et al. 2016	
HATS-30 b	3.174	0.706	224	0.0435	0.096	1.09	Transit	Espinoza et al. 2016	
PSR J2322-2650 b	0.323	0.795	253	0.0102	0.002	1.40	Pulsar Timing	Spiewak et al. 2018	
